size,trial,pause_ms,wall_ms
256,1,3108,3126
256,2,1799,1820
256,3,1801,1821
512,1,4633,4655
512,2,3360,3385
512,3,3645,3670
1024,1,17212,17236
1024,2,7135,7156
1024,3,7855,7879
2048,1,26937,26990
2048,2,16488,16508
2048,3,14427,14448
4096,1,54288,54338
4096,2,28425,28449
4096,3,27806,27865
