size,trial,pause_ms,wall_ms
256,1,350,371
256,2,125,145
256,3,121,142
512,1,347,366
512,2,174,196
512,3,165,180
1024,1,629,648
1024,2,358,379
1024,3,368,387
2048,1,3001,3023
2048,2,648,667
2048,3,658,678
4096,1,10837,10848
4096,2,1244,1258
4096,3,1269,1291
